customer_id,age,email,salary,country,phone,signup_date
C04875,999,user4875@example.com,41017,USA,3637929158,9/22/2023
C01026,70,user1026@example.com,-1000,Australia,-8437,2/25/2023
C03546,79,user3546@example.com,82797,USA,423.366.4508,9/15/2023
C03822,20,@domain.com,54624,India,719-808-4765,8/6/2023
C04395,68,user4395@example.com,155942,USA,,5/28/2023
C00923,70,user3423@example.com,99521,USA,970.521.2218,10/7/2023
C01991,77,user2418@example.com,59709,UK,(318) 414-9221,7/29/2023
C00380,74,user1096@example.com,,UK,6945728232,10/2/2023
C04460,-25,user4460@example.com,49252,USA,502-394-4542,4/14/2023
C00706,61,user706@example.com,142935,Canada,553-249-1162,5/1/2023
C02375,37,user2375@example.com,188744,Canada,733 274 6639,10/23/2023
C00531,37,user531@example.com,143903,USA,4723534498,5/4/2023
C00801,29,,187561,Canada,101-932-8612,6/17/2023
C00113,19,user4525@example.com,80248,UK,6310010573,5/20/2023
C01457,64,user1457@example.com,-50000,Spain,213.259.1983,6/25/2023
C01392,29,user1392@example.com,,USA,246-173-7986,12/1/2023
C03650,40,user3650@example.com,,Australia,110-289-4419,3/18/2023
C03200,500,user3200@example.com,153745,Australia,(820) 179-7187,2/9/2023
C02672,19,invalid-email,121319,UK,724-154-6871,1/11/2023
C02813,43,user2813@example.com,35583,Canada,725.881.9693,1/8/2023
,31,user66@example.com,128826,Australia,(816) 781-6412,10/29/2023
C00158,29,user158@example.com,111029,UK,112-521-2600,10/8/2023
C03241,66,user3241@example.com,162341,Australia,641 918 9027,1/14/2023
C04102,-5,user4102@example.com,-5000,USA,168-828-5327,10/23/2023
C00627,72,user627@example.com,56990,USA,,2/7/2023
C00019,38,user1966@example.com,81033,UK,-8755,2023-02-30
C01439,,user1439@example.com,121198,UK,,4/25/2023
C02241,22,user2241@example.com,149873,Australia,470.448.9215,2023-02-29
C03014,45,user3014@example.com,75156,Brazil,9059268380,8/20/2023
C03907,75,user3907@example.com,161301,USA,342-234-2896,10/6/2023
C02854,25,user3519@example.com,110691,USA,202.190.9252,4/3/2023
C00643,63,user643@example.com,59084,UK,113-275-8817,2/16/2023
C01927,34,user1927@example.com,76250,Australia,-3133,2/15/2023
C02188,300,user2188@example.com,41350,Australia,957.797.4130,6/3/2023
C00684,,user684@example.com,120009,USA,448.903.6820,7/2/2023
C00677,21,user677@example.com,108513,UK,912-525-9089,9/1/2023
C01895,-25,user1895@example.com,158180,Canada,(412) 859-4453,9/4/2023
C01877,,user@@domain.com,89222,UK,298.451.8152,10/6/2023
C01058,71,user1058@example.com,115679,Canada,287.552.1099,8/5/2023
C04850,62,user4850@example.com,197973,Canada,230-653-5849,1/29/2023
C00822,78,user3951@example.com,199176,USA,341.666.3357,12/3/2023
C02836,999,user2836@example.com,156457,Brazil,1642037497,10/14/2023
C03140,19,user3140@example.com,,Australia,502.387.8610,2/16/2023
C00297,70,user297@example.com,123783,Canada,164-481-6656,7/9/2023
C03363,69,user3363@example.com,132127,USA,651.873.8478,12/30/2023
C03605,30,user3605@example.com,41182,Canada,354 628 4176,8/12/2023
C04700,59,user4700@example.com,168919,Australia,8700802495,10/27/2023
C04206,33,user4206@example.com,136553,UK,798 985 5488,9/16/2023
